sensor_id,site_name,lon,lat
WWS078,Wenya Earth Drain (Jurong West Ave 2),103.7143,1.3576
WWS080,Sungei Pang Sua SD(Sungei Kadut Ave),103.7546,1.4067
WWS081,Woodlands Rd/Sg Kadut Ave,103.7558,1.408
WWS084,Sunset Dr/Sunset way,103.7661,1.3259
WWS089,Gul Way/Pioneer Rd,103.6707,1.311
WWS091,JIE OD (Enterprise Rd),103.707,1.3335
WWS094,Gul Circle,103.6765,1.3126
WWS096,Chin Bee Ave / Third Chin Bee Rd,103.7149,1.334
WWS098,Sg Pandan Kechil (West Coast Highway),103.7632,1.3015
WWS099,Ulu Pandan Rd / Clementi Rd,103.7714,1.3194
WWS103,Upp Bt Timah OD (ESPA),103.7648,1.3694
WWS107,Commonwealth Dr/ Commonwealth Lane,103.7976,1.3037
WWS108,Commonwealth Lane (Opp CERTIS),103.7974,1.3044
WWS110,Kampung Bahru Road/ Silat Road,103.8319,1.2765
WWS112,Jurong East St 32 (Blk 311),103.7322,1.348
WWS113,Wan Lee Rd/ Enterprise Rd,103.7055,1.3331
WWS114,Jalan Boon Lay (Bus stop B21339),103.7083,1.3304
WWS116,Choa Chu Kang Avenue 1/ Teck Wye Lane,103.7497,1.3807
WWS117,Yuan Ching Rd / Yung Kuang Rd,103.7248,1.3316
WWS120,Commonwealth Lane /Commonwealth Dr,103.7974,1.3045
WWS122,Boon Lay Way (Blk 201),103.7156,1.3429
WWS127,Jln Tukang OD (Unit 14),103.7131,1.3295
WWS132,Sunset Dr (Unit 10),103.7673,1.3253
WWS133,Alexandra Rd (Opp Fragrance Empire Bldg),103.8021,1.2749
WWS137,Lor Kismis (Unit 2),103.765,1.3366
WWS140,Sg Jurong (AYE),103.7332,1.3264
WWS142,Penjuru Rd OD (Penjuru St),103.7295,1.3049
WWS144,Jurong Port Rd OD (Jln Buroh),103.7164,1.3144
WWS149,Pioneer Rd OD Outfall,103.658,1.3122
WWS151,Sunview Way OD (Sunview Way),103.6999,1.3189
WWS157,Tuas View OD3 (Tuas South Ave 1),103.6246,1.3073
WWS160,Tuas Rd OD7 (Tuas West Dr),103.6331,1.3296
WWS164,ZhengHua Rd OD (Opp ZhengHua Pri Sch),103.7693,1.3786
WWS176,Chin Bee Rd/ International Rd,103.7133,1.3289
WWS180,West Coast Rd (Blk 409),103.7471,1.3183
WWS181,Yew Siang Road/ W Coast Hwy,103.7924,1.2769
WWS183,Tuas South Blvd Ext OD1 (Tuas South Ave 5),103.6248,1.2889
WWS189,Pioneer Rd OD (Tuas Rd),103.658,1.3164
WWS196,Sg Lanchar SD A (17 Upper Jurong Rd),103.6926,1.3344
WWS197,Sg Lanchar SD B2 (Blk 834 Jurong West Ave 5),103.6945,1.3433
WWS198,Sg Lanchar SD B1 (Blk 866 Jurong West St 81),103.6957,1.3506
WWS203,Sg Lanchar Sub Drain A (Pioneer Point),103.6978,1.3343
WWS204,Sg Lanchar SD C (Jln Bahar),103.6981,1.3559
WWS216,Jurong Port Rd SD1 (Jln Tepong),103.7193,1.3123
WWS281,Sg Pandan (West Coast Rd),103.7493,1.3175
WWS285,Sg Ulu Pandan (Freesia Woods),103.7658,1.3233
WWS307,Sg Mandai (Woodlands Rd),103.7608,1.4335
WWS309,Sg Mandai Kechil (Woodlands Rd),103.7679,1.4405
WWS312,Bt Timah 1st Diversion Canal (Pine Grove),103.7726,1.3186
WWS315,Tuas Rd End OD (unit no. 43),103.6496,1.3072
WWS321,International Rd/ Second Chin Bee Rd,103.7143,1.3298
WWS387,Tuas Ave 12/Tuas Ave 1,103.646,1.3354
WWS398,Sg Kadut Dr/Kranji Way,103.7492,1.4351
WWS403,Sg Kadut Dr/Kranji Link,103.7478,1.4321
WWS412,Neo Pee Teck Lane (Unit 5),103.7687,1.2923
WWS413,Neo Pee Teck Lane (Unit 6),103.7689,1.2924
WWS416,Eng Kong Place OD (Fitness Corner),103.7669,1.3347
WWS418,Eng Kong Place (Unit 65),103.7669,1.3344
WWS450,Sg Pandan Kechil (University Flyover),103.7722,1.3033
WWS454,Chin Bee Dr/Jln Boon Lay,103.7097,1.3362
WWS459,Hillview Ave OD2 (Meralodge),103.7613,1.3547
WWS468,Tuas South Blvd Ext Sea Side Outfall,103.6196,1.2838
WWS469,Choa Chu Kang Ave 1 (Blk 124),103.7495,1.3804
