sensor_id,site_name,lon,lat,flood_risk,flood_time
EWS017,Sg Tongkang (Lor Buangkok),103.877,1.3827,high,2023-05-29 07:00|2023-05-29 08:00|2023-05-29 09:00|2023-05-29 10:00|2023-05-29 10:00|2023-05-29 11:00|2023-05-29 11:00|2023-05-29 12:00|2023-05-29 12:00|2023-05-29 14:00|2023-05-29 15:00|2023-05-29 16:00|2023-05-29 16:00|2023-05-29 17:00|2023-05-29 18:00|2023-05-29 19:00|2023-05-29 20:00|2023-05-29 21:00
EWS027,Sg Sembawang Kechil (Woodlands Loop),103.8109,1.4498,low,
EWS033,Changi Airport Diversion Drain (Tanah Merah GC),103.9759,1.3264,medium,
EWS034,Sg Ketapang (Xilin Ave),103.9634,1.3292,medium,
EWS038,Siglap Rd/ Marine Parade Rd,103.9264,1.3093,medium,
EWS042,Bedok North Ave 4/ SBS Depot,103.9488,1.3361,medium,
EWS044,Bedok South Rd/ Bedok South Ave 1,103.933,1.3168,medium,
EWS052,Jalan Kayu / Sengkang West Way,103.8734,1.3948,medium,
EWS054,Neram OD (Upper Neram Rd),103.8672,1.3869,medium,
EWS059,Terang Bulan Ave / New Upper Changi Rd,103.9239,1.3226,high,2023-05-29 11:00|2023-05-30 02:00
EWS060,Jln Nipah,103.9524,1.3262,medium,
EWS064,Yishun Ave 2 / Yishun Ave 5,103.8352,1.431,medium,
EWS079,Bedok Canal(Upper Changi Rd East),103.9517,1.3306,high,2023-05-29 05:00|2023-05-29 06:00|2023-05-29 07:00|2023-05-29 08:00|2023-05-29 09:00|2023-05-29 10:00|2023-05-29 10:00|2023-05-29 11:00|2023-05-29 11:00|2023-05-29 12:00|2023-05-29 12:00|2023-05-29 13:00|2023-05-29 13:00|2023-05-29 14:00|2023-05-29 15:00|2023-05-29 15:00|2023-05-29 16:00|2023-05-29 16:00|2023-05-29 17:00|2023-05-29 17:00|2023-05-29 17:00|2023-05-29 18:00|2023-05-29 18:00|2023-05-29 19:00|2023-05-29 20:00|2023-05-29 21:00|2023-05-29 22:00|2023-05-29 23:00|2023-05-30 00:00|2023-05-30 00:00|2023-05-30 01:00|2023-05-30 02:00|2023-05-30 03:00|2023-05-30 03:00|2023-05-30 04:00
EWS081,Sg Tongkang (Yio Chu Kang Rd),103.8762,1.3798,medium,
EWS083,Ang Mo Kio Ave 5/ Luxus Hill Rd,103.8686,1.3787,low,
EWS085,Tampines Road OD(Tampines Rd),103.8903,1.3613,low,
EWS086,Tampines Canal (Tampines Rd/Hougang Ave 3),103.8937,1.3618,medium,
EWS088,Sg Blukar (Lorong Halus),103.9209,1.3822,medium,
EWS089,Bedok Canal 3rd SD (Bedok Rd),103.9536,1.323,high,2023-05-29 05:00|2023-05-29 06:00|2023-05-29 08:00|2023-05-29 09:00|2023-05-29 10:00|2023-05-29 11:00|2023-05-29 12:00|2023-05-29 12:00|2023-05-29 13:00|2023-05-29 13:00|2023-05-29 14:00|2023-05-29 14:00|2023-05-29 15:00|2023-05-29 15:00|2023-05-29 16:00|2023-05-29 16:00|2023-05-29 17:00|2023-05-29 17:00|2023-05-29 18:00|2023-05-29 18:00|2023-05-29 18:00|2023-05-29 19:00|2023-05-29 20:00|2023-05-29 21:00|2023-05-29 22:00|2023-05-29 23:00|2023-05-30 00:00|2023-05-30 01:00|2023-05-30 02:00|2023-05-30 04:00
EWS090,Seletar North Link,103.8791,1.429,low,
EWS094,Tampines Rd/ Jln Teliti,103.8918,1.3612,medium,
EWS097,Telok Kurau OD (Still Rd),103.9049,1.3169,medium,
EWS100,Bayshore Park OD (NCS Bedok),103.9309,1.3186,medium,
EWS102,Upp East Coast Rd (Unit 517),103.9439,1.316,low,
EWS104,Sembawang Shipyard OD (Cochrame Lodge II),103.8176,1.4619,low,
EWS123,Sg Pinang (Seletar Club Rd),103.8611,1.4109,high,2023-05-29 05:00|2023-05-29 06:00|2023-05-29 07:00|2023-05-29 08:00|2023-05-29 10:00|2023-05-29 10:00|2023-05-29 11:00|2023-05-29 12:00|2023-05-29 12:00|2023-05-29 13:00|2023-05-29 13:00|2023-05-29 14:00|2023-05-29 15:00|2023-05-29 15:00|2023-05-29 15:00|2023-05-29 16:00|2023-05-29 16:00|2023-05-29 17:00|2023-05-29 18:00|2023-05-29 19:00|2023-05-29 19:00|2023-05-29 20:00|2023-05-29 22:00|2023-05-30 01:00|2023-05-30 04:00
EWS129,Serangoon Gardens OD3 (AMK Ave 3),103.8668,1.372,medium,
EWS139,Sg Sembawang (Senoko Dr),103.8071,1.4663,medium,
EWS146,Carmen St/ Lakme Terrace,103.9264,1.3176,medium,
EWS147,Lakme Terrace (19),103.9263,1.3175,medium,
EWS156,Siglap Canal (Ngee Ann Pri Sch),103.9189,1.3052,medium,
EWS164,Bayshore Park OD (Jln Pokok Serunai),103.9363,1.3127,medium,
EWS176,Sg Mata Ikan (Nasaco Tech Centre),103.9718,1.3373,low,
EWS180,Changi Airport Div Canal (Changi Coast Walk),103.9761,1.3175,medium,
EWS182,Changi South CD 1 (Tanah Merah Coast Rd),103.985,1.3188,medium,
EWS184,Sg Changi (Changi Airport Nursery),103.9941,1.3886,medium,
EWS185,Changi CD2 South (Changi East Dr),103.9986,1.3132,medium,
EWS187,Changi North Bay Drain 1 (Aviation Pk Rd),104.0043,1.3712,low,
EWS190,Changi North CD 1 (Aviation Pk Rd),104.0157,1.366,low,
EWS191,Changi North CD 2 (Aviation Pk Rd),104.02,1.3637,low,
EWS194,Kensington Pk Rd OD (Kensington Pk Rd),103.8668,1.3688,medium,
EWS196,Sg Tongkang (Ang Mo Kio Ave 5),103.8752,1.3786,medium,
EWS206,Kensington Park Rd/Jln Chulek,103.8669,1.3665,medium,
EWS218,Sg Blukar SD A (Halus Link),103.9187,1.3819,medium,
EWS234,Sg Tampines TD2 (Loyang Ave),103.9627,1.3613,low,
EWS236,Jln Pelikat OD (Hougang St 22),103.8914,1.3555,low,
EWS239,Jln Pelikat OD (Defu Lane 10/Hougang Ave 3),103.8931,1.3578,medium,
EWS242,Jln Pelikat OD (Defu Ave 1/Tampines Rd),103.8946,1.3613,medium,
EWS248,Cactus Rd OD (Cactus Dr),103.8524,1.3895,medium,
EWS249,TPE Slip Rd (Punggol Crest),103.8993,1.3995,medium,
EWS250,TPE Slip Rd (Punggol West Flyover),103.8965,1.4001,medium,
EWS254,Siglap Canal SD (Lor Melayu),103.9106,1.3195,medium,
EWS255,Pulau Punggol Timor OD2 (Seletar North Lk),103.8938,1.4195,low,
EWS275,Hougang Ave 10 (Hougang Polyclinic),103.8886,1.3697,medium,
EWS283,Lower Seletar Reservoir 3rd Inlet (Yishun Ave 1),103.8495,1.421,medium,
EWS315,Sg Sembawang (Canberra Sec Sch),103.813,1.4528,medium,
EWS323,Yishun Ave 7 (Blk 288),103.8373,1.44,low,
EWS334,Sg Cina Outfall (Admiralty Rd West),103.777,1.451,medium,
EWS346,Sg Sembawang Kechil (783B Woodlands Rise),103.8043,1.4468,low,
EWS349,Sg Sembawang OD1 (Woodlands Sunny Food),103.8088,1.4624,medium,
EWS350,Sg Sembawang (Admiralty St),103.8111,1.4599,low,
EWS354,Sg Tampines (Tampines North Pri),103.9488,1.3612,low,
EWS355,Sg Tampines (Blk 495E Tampines St 43),103.9523,1.3643,low,
EWS368,Pasir Ris Pk OD (Heritage Chalet),103.9413,1.3865,medium,
EWS378,Sg Sembawang (Admiralty Rd West u/s culvert),103.8103,1.4616,medium,
